all_id,pref,municipalities,townblock,latitude,longitude
104401,愛知県,名古屋市千種区,青柳町五丁目,35.161494,136.939084
104402,愛知県,名古屋市千種区,青柳町六丁目,35.159491,136.938490
104403,愛知県,名古屋市千種区,青柳町七丁目,35.157020,136.937938
104404,愛知県,名古屋市千種区,赤坂町一丁目,35.182470,136.959466
104405,愛知県,名古屋市千種区,赤坂町二丁目,35.181677,136.959935
104406,愛知県,名古屋市千種区,赤坂町三丁目,35.181243,136.959756
104407,愛知県,名古屋市千種区,赤坂町四丁目,35.180691,136.958867
104408,愛知県,名古屋市千種区,赤坂町五丁目,35.179873,136.958282
104409,愛知県,名古屋市千種区,赤坂町六丁目,35.178691,136.957215
104410,愛知県,名古屋市千種区,赤坂町七丁目,35.177040,136.956663
104411,愛知県,名古屋市千種区,揚羽町一丁目,35.183193,136.964559
104412,愛知県,名古屋市千種区,揚羽町二丁目,35.182247,136.966124
104413,愛知県,名古屋市千種区,朝岡町一丁目,35.162513,136.965071
104414,愛知県,名古屋市千種区,朝岡町二丁目,35.161503,136.965666
104415,愛知県,名古屋市千種区,朝岡町三丁目,35.160574,136.966606
104416,愛知県,名古屋市千種区,池上町一丁目,35.170634,136.970448
104417,愛知県,名古屋市千種区,池上町二丁目,35.169669,136.972578
104418,愛知県,名古屋市千種区,池上町三丁目,35.169358,136.974892
104419,愛知県,名古屋市千種区,池下一丁目,35.168524,136.944253
104420,愛知県,名古屋市千種区,池下二丁目,35.168644,136.945943
104421,愛知県,名古屋市千種区,池下町二丁目,35.168340,136.947929
104422,愛知県,名古屋市千種区,池園町一丁目,35.160484,136.963084
104423,愛知県,名古屋市千種区,池園町二丁目,35.159060,136.963530
104424,愛知県,名古屋市千種区,猪高町大字猪子石,35.185423,136.966909
104425,愛知県,名古屋市千種区,稲舟通一丁目,35.162819,136.961814
104426,愛知県,名古屋市千種区,稲舟通二丁目,35.161042,136.959527
104427,愛知県,名古屋市千種区,井上町,35.162462,136.983331
104428,愛知県,名古屋市千種区,今池一丁目,35.168448,136.933626
104429,愛知県,名古屋市千種区,今池二丁目,35.167156,136.930226
104430,愛知県,名古屋市千種区,今池三丁目,35.165162,136.934211
104431,愛知県,名古屋市千種区,今池四丁目,35.169810,136.939181
104432,愛知県,名古屋市千種区,今池五丁目,35.167094,136.939210
104433,愛知県,名古屋市千種区,今池南,35.163905,136.938345
104434,愛知県,名古屋市千種区,上野一丁目,35.181759,136.951849
104435,愛知県,名古屋市千種区,上野二丁目,35.179776,136.951642
104436,愛知県,名古屋市千種区,上野三丁目,35.177666,136.951159
104437,愛知県,名古屋市千種区,内山一丁目,35.173227,136.935816
104438,愛知県,名古屋市千種区,内山二丁目,35.172395,136.939457
104439,愛知県,名古屋市千種区,内山三丁目,35.170985,136.934425
104440,愛知県,名古屋市千種区,大久手町五丁目,35.161790,136.936797
104441,愛知県,名古屋市千種区,大久手町六丁目,35.160228,136.936486
104442,愛知県,名古屋市千種区,大久手町七丁目,35.158248,136.936124
104443,愛知県,名古屋市千種区,大島町一丁目,35.160131,136.952112
104444,愛知県,名古屋市千種区,大島町二丁目,35.159173,136.951541
104445,愛知県,名古屋市千種区,大島町三丁目,35.158247,136.951143
104446,愛知県,名古屋市千種区,大島町四丁目,35.157628,136.951039
104447,愛知県,名古屋市千種区,丘上町一丁目,35.165361,136.951950
104448,愛知県,名古屋市千種区,丘上町二丁目,35.163800,136.952419
104449,愛知県,名古屋市千種区,御棚町一丁目,35.163736,136.949514
104450,愛知県,名古屋市千種区,御棚町二丁目,35.162678,136.949903
104451,愛知県,名古屋市千種区,御棚町三丁目,35.161692,136.949648
104452,愛知県,名古屋市千種区,鏡池通一丁目,35.160270,136.955981
104453,愛知県,名古屋市千種区,鏡池通二丁目,35.159872,136.958147
104454,愛知県,名古屋市千種区,鏡池通三丁目,35.159319,136.960451
104455,愛知県,名古屋市千種区,鏡池通四丁目,35.157991,136.964610
104456,愛知県,名古屋市千種区,覚王山通七丁目,35.167646,136.946106
104457,愛知県,名古屋市千種区,覚王山通八丁目,35.166881,136.947287
104458,愛知県,名古屋市千種区,覚王山通九丁目,35.166350,136.950463
104459,愛知県,名古屋市千種区,霞ケ丘一丁目,35.179296,136.962427
104460,愛知県,名古屋市千種区,霞ケ丘二丁目,35.178358,136.965191
104461,愛知県,名古屋市千種区,香流橋一丁目,35.190080,136.978705
104462,愛知県,名古屋市千種区,香流橋二丁目,35.190879,136.985240
104463,愛知県,名古屋市千種区,鹿子町一丁目,35.167764,136.972326
104464,愛知県,名古屋市千種区,鹿子町二丁目,35.167411,136.971215
104465,愛知県,名古屋市千種区,鹿子町三丁目,35.167251,136.969770
104466,愛知県,名古屋市千種区,鹿子町四丁目,35.166426,136.969564
104467,愛知県,名古屋市千種区,鹿子町五丁目,35.165805,136.969808
104468,愛知県,名古屋市千種区,鹿子町六丁目,35.165103,136.969953
104469,愛知県,名古屋市千種区,鹿子町七丁目,35.164396,136.969744
104470,愛知県,名古屋市千種区,鹿子殿,35.176679,136.973914
104471,愛知県,名古屋市千種区,萱場一丁目,35.182304,136.943213
104472,愛知県,名古屋市千種区,萱場二丁目,35.183292,136.946622
104473,愛知県,名古屋市千種区,唐山町一丁目,35.160133,136.968568
104474,愛知県,名古屋市千種区,唐山町二丁目,35.159192,136.970292
104475,愛知県,名古屋市千種区,唐山町三丁目,35.159471,136.971697
104476,愛知県,名古屋市千種区,川崎町一丁目,35.159586,136.955708
104477,愛知県,名古屋市千種区,川崎町二丁目,35.159152,136.957961
104478,愛知県,名古屋市千種区,観月町一丁目,35.165277,136.954195
104479,愛知県,名古屋市千種区,観月町二丁目,35.164575,136.955359
104480,愛知県,名古屋市千種区,神田町,35.175655,136.940408
104481,愛知県,名古屋市千種区,菊坂町一丁目,35.165499,136.948417
104482,愛知県,名古屋市千種区,菊坂町二丁目,35.165026,136.949353
104483,愛知県,名古屋市千種区,菊坂町三丁目,35.164860,136.950535
104484,愛知県,名古屋市千種区,北千種一丁目,35.179733,136.943882
104485,愛知県,名古屋市千種区,北千種二丁目,35.180935,136.948006
104486,愛知県,名古屋市千種区,北千種三丁目,35.178564,136.946878
104487,愛知県,名古屋市千種区,希望ケ丘一丁目,35.179889,136.969324
104488,愛知県,名古屋市千種区,希望ケ丘二丁目,35.178892,136.967606
104489,愛知県,名古屋市千種区,希望ケ丘三丁目,35.179346,136.972020
104490,愛知県,名古屋市千種区,希望ケ丘四丁目,35.178506,136.972432
104491,愛知県,名古屋市千種区,京命一丁目,35.186012,136.984442
104492,愛知県,名古屋市千種区,京命二丁目,35.183931,136.983917
104493,愛知県,名古屋市千種区,清住町一丁目,35.163206,136.968850
104494,愛知県,名古屋市千種区,清住町二丁目,35.163118,136.971217
104495,愛知県,名古屋市千種区,清住町三丁目,35.162044,136.971000
104496,愛知県,名古屋市千種区,桐林町一丁目,35.165691,136.946847
104497,愛知県,名古屋市千種区,桐林町二丁目,35.164676,136.946917
104498,愛知県,名古屋市千種区,楠元町一丁目,35.167846,136.961766
104499,愛知県,名古屋市千種区,楠元町二丁目,35.165838,136.960989
104500,愛知県,名古屋市千種区,幸川町一丁目,35.158835,136.959719
104501,愛知県,名古屋市千種区,幸川町二丁目,35.158265,136.961251
104502,愛知県,名古屋市千種区,幸川町三丁目,35.157441,136.963094
104503,愛知県,名古屋市千種区,向陽一丁目,35.170518,136.947586
104504,愛知県,名古屋市千種区,向陽町一丁目,35.171210,136.951873
104505,愛知県,名古屋市千種区,向陽町二丁目,35.170578,136.950085
104506,愛知県,名古屋市千種区,向陽町三丁目,35.169922,136.948526
104507,愛知県,名古屋市千種区,古出来三丁目,35.181785,136.941385
104508,愛知県,名古屋市千種区,小松町五丁目,35.161651,136.938055
104509,愛知県,名古屋市千種区,小松町六丁目,35.159966,136.937592
104510,愛知県,名古屋市千種区,小松町七丁目,35.157854,136.937017
104511,愛知県,名古屋市千種区,桜が丘,35.166242,136.988718
104512,愛知県,名古屋市千種区,山門町一丁目,35.168974,136.953894
104513,愛知県,名古屋市千種区,山門町二丁目,35.167669,136.952832
104514,愛知県,名古屋市千種区,下方町一丁目,35.181787,136.954203
104515,愛知県,名古屋市千種区,下方町三丁目,35.179495,136.954378
104516,愛知県,名古屋市千種区,下方町四丁目,35.178426,136.954352
104517,愛知県,名古屋市千種区,下方町五丁目,35.177722,136.954311
104518,愛知県,名古屋市千種区,下方町六丁目,35.176370,136.953853
104519,愛知県,名古屋市千種区,下方町七丁目,35.175883,136.955603
104520,愛知県,名古屋市千種区,自由ケ丘一丁目,35.174134,136.962229
104521,愛知県,名古屋市千種区,自由ケ丘二丁目,35.174762,136.965222
104522,愛知県,名古屋市千種区,自由ケ丘三丁目,35.176167,136.968363
104523,愛知県,名古屋市千種区,松軒一丁目,35.179226,136.938666
104524,愛知県,名古屋市千種区,松軒二丁目,35.179005,136.941060
104525,愛知県,名古屋市千種区,松竹町一丁目,35.163884,136.960258
104526,愛知県,名古屋市千種区,松竹町二丁目,35.163246,136.960998
104527,愛知県,名古屋市千種区,汁谷町,35.184965,136.970334
104528,愛知県,名古屋市千種区,城木町一丁目,35.160828,136.942302
104529,愛知県,名古屋市千種区,城木町二丁目,35.159559,136.941873
